Date : 2025-01-09 11:15:23
Directory : d:\Websites\Krish Sataisya - Portfolio
Total : 631 files,  216211 codes, 11204 comments, 24874 blanks, all 252289 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons.less                       | Less        |         15 |          3 |          1 |         19 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\actions.less               | Less        |        480 |          0 |          0 |        480 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\alert.less                 | Less        |          6 |          0 |          0 |          6 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\audio-video.less           | Less        |        150 |          0 |          0 |        150 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\communication.less         | Less        |        117 |          0 |          0 |        117 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\content.less               | Less        |        102 |          0 |          0 |        102 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\device.less                | Less        |        225 |          0 |          0 |        225 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\editor.less                | Less        |        156 |          0 |          0 |        156 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\file.less                  | Less        |         39 |          0 |          0 |         39 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\hardware.less              | Less        |        123 |          0 |          0 |        123 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\image.less                 | Less        |        411 |          0 |          0 |        411 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\maps.less                  | Less        |        165 |          0 |          0 |        165 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\navigation.less            | Less        |         63 |          0 |          0 |         63 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\notification.less          | Less        |        102 |          0 |          0 |        102 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\social.less                | Less        |         72 |          0 |          0 |         72 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\toggle.less                | Less        |         21 |          0 |          0 |         21 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\material-design-iconic-font.less | Less        |         10 |          4 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\mixins.less                      | Less        |         12 |          2 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\path.less                        | Less        |         10 |          2 |          0 |         12 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\pulled.less                      | Less        |          4 |          2 |          0 |          6 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\rotated.less                     | Less        |         12 |          4 |          3 |         19 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\sizes.less                       | Less        |          9 |          2 |          0 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\spinned.less                     | Less        |         48 |          4 |          7 |         59 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\variables.less                   | Less        |          4 |          2 |          1 |          7 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\pagination.less                                 | Less        |         52 |          0 |          6 |         58 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\scrollbar.less                                  | Less        |        817 |        113 |        343 |      1,273 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\spectrum.less                                   | Less        |        438 |         28 |         42 |        508 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\config.json                                                        | JSON        |         12 |          0 |          0 |         12 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\gulpfile.js                                                        | JavaScript  |        108 |          7 |          8 |        123 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\index.html                                                         | Django HTML |        627 |          0 |        112 |        739 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\launderer.php                                                      | PHP         |         18 |          0 |         10 |         28 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\package.json                                                       | JSON        |         22 |          0 |          1 |         23 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\pixie-integrate.js                                                 | JavaScript  |        302 |         20 |         79 |        401 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\Tm.html                                                                               | Django HTML |      8,325 |          0 |        501 |      8,826 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\css\login-signup\loginsignup-new.css                                              | CSS         |      1,939 |          0 |        276 |      2,215 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\homepage\desktop\design\vedantulogo_white.svg                              | XML         |          1 |          0 |          0 |          1 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\new-homepage\newTagDropDown.svg                                            | XML         |          4 |          0 |          1 |          5 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\seo-templates\bookmark-filled-white.svg                                    | XML         |         11 |          0 |          0 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\manifest.json                                                                         | JSON        |         50 |          0 |          0 |         50 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\serviceworker.js                                                                      | JavaScript  |          5 |          0 |          2 |          7 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\JSON\indian-cities.json                                                        | JSON        |      2,047 |          0 |          0 |      2,047 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\css\haptik\v-haptik.css                                                        | CSS         |        199 |          0 |         33 |        232 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\back.svg                                                                | XML         |         37 |          1 |          1 |         39 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\checked.svg                                                             | XML         |          8 |          0 |          1 |          9 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\error-icon.svg                                                          | XML         |         44 |          1 |          1 |         46 |
| d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\metadata\country-phone-codes.json                                              | JSON        |        810 |          0 |          0 |        810 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\animate.min.css                                                                                | CSS         |      2,704 |          0 |        217 |      2,921 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\backToTop.css                                                                                  | CSS         |         50 |          0 |          4 |         54 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\bootstrap.min.css                                                                              | CSS         |     11,315 |          6 |      1,312 |     12,633 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\flaticon_gerold.css                                                                            | CSS         |        120 |          0 |         38 |        158 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\font-awesome-pro.min.css                                                                       | CSS         |     27,694 |          5 |      7,012 |     34,711 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\gerold-core.css                                                                                | CSS         |     10,672 |        247 |      1,558 |     12,477 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\light-mode.css                                                                                 | CSS         |        581 |        139 |        191 |        911 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\magnific-popup.css                                                                             | CSS         |        379 |          6 |         57 |        442 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\main-2.css                                                                                     | CSS         |        672 |         12 |        145 |        829 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\main-3.css                                                                                     | CSS         |        804 |         13 |        173 |        990 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\main.css                                                                                       | CSS         |      3,300 |        120 |        546 |      3,966 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\meanmenu.css                                                                                   | CSS         |        114 |         11 |         20 |        145 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\nice-select.css                                                                                | CSS         |        163 |          0 |         22 |        185 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\odometer-theme-default.css                                                                     | CSS         |        114 |          0 |         16 |        130 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\owl.carousel.min.css                                                                           | CSS         |        179 |          5 |         34 |        218 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive-2.css                                                                               | CSS         |        251 |         25 |          7 |        283 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive-3.css                                                                               | CSS         |        259 |         21 |          5 |        285 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive.css                                                                                 | CSS         |        876 |         42 |          9 |        927 |
| d:\Websites\Krish Sataisya - Portfolio\assets\css\swiper.min.css                                                                                 | CSS         |        602 |         11 |        118 |        731 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\hero\hero-4-subtitle-hand.svg                                                                  | XML         |         14 |          0 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\1.svg                                                                                    | XML         |          6 |          0 |          1 |          7 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Clip path group (1).svg                                                                  | XML         |          9 |          0 |          1 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 300.svg                                                                            | XML         |          9 |          0 |          1 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 301.svg                                                                            | XML         |         20 |          0 |          1 |         21 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 48095702.svg                                                                       | XML         |         10 |          0 |          1 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-after-affects-logo-svg-150px.svg                                                   | XML         |         12 |          0 |          1 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-illustrator-logo-svg-150px.svg                                                     | XML         |         12 |          0 |          1 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-photoshop-logo-svg-150px.svg                                                       | XML         |         12 |          0 |          1 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\bootstrap 1.svg                                                                          | XML         |         10 |          0 |          1 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\canva-logo-svg-150px.svg                                                                 | XML         |         15 |          0 |          1 |         16 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\figma.svg                                                                                | XML         |          1 |          0 |          0 |          1 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\firebase-icon 1.svg                                                                      | XML         |         13 |          0 |          1 |         14 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\images 1.svg                                                                             | XML         |          9 |          0 |          1 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\mongodb 1.svg                                                                            | XML         |         11 |          0 |          1 |         12 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\react.svg                                                                                | XML         |          3 |          0 |          1 |          4 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\sketch.svg                                                                               | XML         |         42 |          1 |          1 |         44 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\star.svg                                                                                 | XML         |          3 |          0 |          1 |          4 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\tailwindcss.svg                                                                          | XML         |         14 |          0 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\webflow.svg                                                                              | XML         |          9 |          0 |          1 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\xd.svg                                                                                   | XML         |          1 |          0 |          0 |          1 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\ScrollTrigger.min.js                                                                            | JavaScript  |      1,340 |          8 |         86 |      1,434 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\appear.min.js                                                                                   | JavaScript  |         78 |         10 |          0 |         88 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\backToTop.js                                                                                    | JavaScript  |         24 |          0 |          0 |         24 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\bootstrap.bundle.min.js                                                                         | JavaScript  |      3,284 |          6 |         54 |      3,344 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\gsap-split-text.js                                                                              | JavaScript  |        166 |          8 |         15 |        189 |
| d:\Websites\Krish Sataisya - Portfolio\assets\js\gsap.min.js                                                                                     | JavaScript  |      2,142 |          8 |        123 |      2,273 |
