"filename", "language", "JavaScript", "JSON", "XML", "Django HTML", "CSS", "PHP", "Pug", "Less", "SCSS", "comment", "blank", "total"
"d:\Websites\Krish Sataisya - Portfolio\assets\css\backToTop.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"d:\Websites\Krish Sataisya - Portfolio\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 11315, 0, 0, 0, 0, 6, 1312, 12633
"d:\Websites\Krish Sataisya - Portfolio\assets\css\flaticon_gerold.css", "CSS", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 38, 158
"d:\Websites\Krish Sataisya - Portfolio\assets\css\font-awesome-pro.min.css", "CSS", 0, 0, 0, 0, 27694, 0, 0, 0, 0, 5, 7012, 34711
"d:\Websites\Krish Sataisya - Portfolio\assets\css\gerold-core.css", "CSS", 0, 0, 0, 0, 10672, 0, 0, 0, 0, 247, 1558, 12477
"d:\Websites\Krish Sataisya - Portfolio\assets\css\light-mode.css", "CSS", 0, 0, 0, 0, 581, 0, 0, 0, 0, 139, 191, 911
"d:\Websites\Krish Sataisya - Portfolio\assets\css\magnific-popup.css", "CSS", 0, 0, 0, 0, 379, 0, 0, 0, 0, 6, 57, 442
"d:\Websites\Krish Sataisya - Portfolio\assets\css\main-2.css", "CSS", 0, 0, 0, 0, 672, 0, 0, 0, 0, 12, 145, 829
"d:\Websites\Krish Sataisya - Portfolio\assets\css\main-3.css", "CSS", 0, 0, 0, 0, 804, 0, 0, 0, 0, 13, 173, 990
"d:\Websites\Krish Sataisya - Portfolio\assets\css\main.css", "CSS", 0, 0, 0, 0, 3300, 0, 0, 0, 0, 120, 546, 3966
"d:\Websites\Krish Sataisya - Portfolio\assets\css\meanmenu.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 0, 0, 11, 20, 145
"d:\Websites\Krish Sataisya - Portfolio\assets\css\nice-select.css", "CSS", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 22, 185
"d:\Websites\Krish Sataisya - Portfolio\assets\css\odometer-theme-default.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 16, 130
"d:\Websites\Krish Sataisya - Portfolio\assets\css\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 179, 0, 0, 0, 0, 5, 34, 218
"d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive-2.css", "CSS", 0, 0, 0, 0, 251, 0, 0, 0, 0, 25, 7, 283
"d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive-3.css", "CSS", 0, 0, 0, 0, 259, 0, 0, 0, 0, 21, 5, 285
"d:\Websites\Krish Sataisya - Portfolio\assets\css\responsive.css", "CSS", 0, 0, 0, 0, 876, 0, 0, 0, 0, 42, 9, 927
"d:\Websites\Krish Sataisya - Portfolio\assets\css\swiper.min.css", "CSS", 0, 0, 0, 0, 602, 0, 0, 0, 0, 11, 118, 731
"d:\Websites\Krish Sataisya - Portfolio\assets\img\hero\hero-4-subtitle-hand.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\1.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Clip path group (1).svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 300.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 301.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\Group 48095702.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-after-affects-logo-svg-150px.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-illustrator-logo-svg-150px.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\adobe-photoshop-logo-svg-150px.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\bootstrap 1.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\canva-logo-svg-150px.svg", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\figma.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\firebase-icon 1.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\images 1.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\mongodb 1.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\react.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\sketch.svg", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 1, 44
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\star.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\tailwindcss.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\webflow.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\Krish Sataisya - Portfolio\assets\img\icons\xd.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\Krish Sataisya - Portfolio\assets\js\ScrollTrigger.min.js", "JavaScript", 1340, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86, 1434
"d:\Websites\Krish Sataisya - Portfolio\assets\js\appear.min.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 88
"d:\Websites\Krish Sataisya - Portfolio\assets\js\backToTop.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\Websites\Krish Sataisya - Portfolio\assets\js\bootstrap.bundle.min.js", "JavaScript", 3284, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54, 3344
"d:\Websites\Krish Sataisya - Portfolio\assets\js\gsap-split-text.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 189
"d:\Websites\Krish Sataisya - Portfolio\assets\js\gsap.min.js", "JavaScript", 2142, 0, 0, 0, 0, 0, 0, 0, 0, 8, 123, 2273
